date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
02-21-2020,0.019821428571428577,-0.009107142857142857,0.07303571428571429,0.035178571428571434,0.007321428571428571,0.0024999999999999996,0.28906617192331474,0.07029029793735676,0.26175721133066,3.0,0.0
02-22-2020,0.054642857142857125,0.028035714285714296,0.33178571428571446,0.06839285714285713,0.025892857142857155,-0.00928571428571429,0.46903486394557825,0.02435940285204991,0.2636552343665765,0.0,0.0
02-23-2020,0.07017857142857141,0.03732142857142858,0.3260714285714285,0.06732142857142855,0.022321428571428582,-0.006964285714285715,0.02534516079158936,-0.09391472498090145,-0.012146976463154628,0.0,0.0
02-24-2020,0.018928571428571433,0.007857142857142858,0.09214285714285717,0.019642857142857153,0.02107142857142858,0.002678571428571429,0.010879329004329003,0.010320059842118664,0.04062685938425525,13.0,0.0
02-25-2020,0.032678571428571446,0.004285714285714286,0.07571428571428573,0.025892857142857155,0.004642857142857141,0.003035714285714285,0.043735698824984535,0.013952444614209318,0.07005477024563721,2.0,0.0
02-26-2020,0.07464285714285714,0.03357142857142859,0.05339285714285714,0.04857142857142856,0.010178571428571434,-0.004821428571428573,0.04790391156462586,0.008683632543926663,0.08439389294469478,15.0,0.0
02-27-2020,0.06392857142857142,0.025178571428571432,0.08392857142857142,0.04714285714285715,0.006071428571428577,-0.0016071428571428567,0.1066036641929499,0.017905525846702318,0.1271770807645349,0.0,0.0
02-28-2020,0.07357142857142858,0.03857142857142858,0.12767857142857145,0.06624999999999999,0.020535714285714296,-0.010178571428571431,0.3135188620902906,0.0663349885408709,0.2843433923067349,5.0,0.0
02-29-2020,0.09428571428571426,0.06142857142857142,0.22857142857142856,0.08607142857142855,0.027678571428571445,-0.01750000000000001,0.4446873067408782,0.017933218742042272,0.2798984411887045,5.0,1.0
03-01-2020,0.12803571428571428,0.08982142857142857,0.28410714285714284,0.09107142857142855,0.028928571428571446,-0.013214285714285722,0.028005952380952385,-0.09716291061879298,-0.004382952180565923,18.0,2.0
