date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths
3/27/2020,-0.38125,-0.130357143,0.13875,-0.385,-0.399464286,0.182857143,-0.235505566,-0.309645722,-0.252251038,0,0,0,0,0,0,0,0,17330,417
3/28/2020,-0.4425,-0.171428571,-0.011785714,-0.394285714,-0.299464286,0.12375,-0.289172078,-0.334334575,-0.321337435,0,0,0,0,0,0,0,0,21066,530
3/29/2020,-0.422321429,-0.193928571,0.069821429,-0.424107143,-0.329285714,0.103392857,-0.334820656,-0.351320346,-0.395239628,0,0,0,0,0,0,0,0,18520,418
3/30/2020,-0.359642857,-0.149642857,0.051607143,-0.391785714,-0.411071429,0.162678571,-0.274463513,-0.319218869,-0.314280662,0,0,0,0,0,0,0,0,21469,650
3/31/2020,-0.359821429,-0.133928571,0.038571429,-0.368392857,-0.428571429,0.175714286,-0.275586735,-0.328159218,-0.305912516,0,0,0,0,0,0,0,0,24506,936
4/1/2020,-0.33625,-0.083035714,0.088214286,-0.357321429,-0.432142857,0.172678571,-0.259149273,-0.326901579,-0.297462498,0,0,0,0,0,0,0,0,26930,1021
4/2/2020,-0.375178571,-0.110535714,0.016428571,-0.39875,-0.439285714,0.186428571,-0.261749382,-0.330417462,-0.296555855,0,0,0,0,0,0,0,0,29717,1216
4/3/2020,-0.385357143,-0.097321429,-0.078214286,-0.413571429,-0.431607143,0.196964286,-0.239873222,-0.327779635,-0.257122725,0,0,0,0,0,0,0,0,32318,1391
4/4/2020,-0.444107143,-0.127142857,0.013214286,-0.408214286,-0.322142857,0.128928571,-0.269299629,-0.347468487,-0.313022757,0,0,0,0,0,0,0,0,35099,1556
4/5/2020,-0.427678571,-0.161071429,0.1375,-0.445892857,-0.345892857,0.104285714,-0.315749459,-0.360904157,-0.389601964,0,0,0,0,0,0,0,0,25616,1368
4/6/2020,-0.364107143,-0.12875,0.171607143,-0.401964286,-0.431428571,0.168571429,-0.253008658,-0.328792653,-0.301063208,0,0,0,0,0,0,0,0,30915,1526
4/7/2020,-0.36625,-0.1175,0.276607143,-0.377678571,-0.446785714,0.17625,-0.23079816,-0.324353832,-0.288383279,0,0,0,0,0,0,0,0,30338,2234
4/8/2020,-0.367857143,-0.115892857,0.166964286,-0.382142857,-0.45,0.176785714,-0.236473021,-0.326550166,-0.284160015,0,0,0,0,0,0,0,0,31819,2085
4/9/2020,-0.378571429,-0.1125,-0.015714286,-0.411964286,-0.455178571,0.188392857,-0.25346243,-0.333506812,-0.2759758,0,0,0,0,0,0,0,0,34696,2120
4/10/2020,-0.380535714,-0.094107143,0.023035714,-0.430357143,-0.485178571,0.205535714,-0.204112554,-0.329083588,-0.223936453,0,0,0,0,0,0,0,0,33472,2263
4/11/2020,-0.410178571,-0.05875,0.066607143,-0.416071429,-0.333928571,0.122142857,-0.230940012,-0.344675484,-0.276754245,0,0,0,0,0,0,0,0,31725,2084
4/12/2020,-0.584464286,-0.369821429,-0.178571429,-0.501964286,-0.40625,0.112678571,-0.374273346,-0.383367233,-0.435090794,0,0,0,0,0,0,0,0,27143,1681
4/13/2020,-0.400178571,-0.193928571,-0.205357143,-0.441071429,-0.442678571,0.182142857,-0.286762137,-0.33782754,-0.298404322,0,0,0,0,0,0,0,0,25769,1764
4/14/2020,-0.357142857,-0.13625,0.026785714,-0.386607143,-0.432678571,0.178035714,-0.252669682,-0.332830405,-0.263341733,0,0,0,0,0,0,0,0,26691,2705
4/15/2020,-0.300178571,-0.09,0.001071429,-0.370178571,-0.430535714,0.1725,-0.236035096,-0.33625748,-0.231934771,0,0,0,0,0,0,0,0,30033,2752
4/16/2020,-0.334464286,-0.108392857,0.012321429,-0.393035714,-0.433035714,0.181785714,-0.229833797,-0.336557009,-0.227322094,0,0,0,0,0,0,0,0,31613,2348
4/17/2020,-0.36,-0.135,-0.01125,-0.4,-0.420535714,0.189464286,-0.195754097,-0.328217787,-0.176456587,0,0,0,0,0,0,0,0,31507,2289
4/18/2020,-0.391607143,-0.129285714,0.056785714,-0.375535714,-0.296785714,0.116428571,-0.205446042,-0.339550388,-0.215270273,0,0,0,0,0,0,0,0,28400,1952
4/19/2020,-0.368392857,-0.155,0.22875,-0.415892857,-0.321071429,0.094107143,-0.274325139,-0.353518589,-0.312306898,0,0,0,0,0,0,0,0,25334,1520
4/20/2020,-0.310178571,-0.1275,0.170535714,-0.38,-0.416428571,0.160714286,-0.199030999,-0.317722339,-0.213834808,0,0,0,0,0,0,0,0,27330,1837
4/21/2020,-0.3175,-0.111785714,0.176607143,-0.362857143,-0.425,0.169285714,-0.213332947,-0.320667017,-0.216204145,0,0,0,0,0,0,0,0,25508,2672
4/22/2020,-0.3175,-0.105357143,0.125892857,-0.36,-0.426428571,0.169107143,-0.212395254,-0.325449293,-0.20527553,0,0,0,0,0,0,0,0,28832,2371
4/23/2020,-0.337142857,-0.114285714,0.058035714,-0.381071429,-0.427321429,0.178928571,-0.21063389,-0.328655462,-0.194103466,0,0,0,0,0,0,0,0,33773,2169
4/24/2020,-0.345714286,-0.121428571,0.078035714,-0.381607143,-0.41625,0.182857143,-0.159683828,-0.317641648,-0.133683772,0,0,0,0,0,0,0,0,36738,2132
4/25/2020,-0.355892857,-0.094285714,0.341785714,-0.334107143,-0.285535714,0.101071429,-0.169025974,-0.330607334,-0.166518486,0,0,0,0,0,0,0,0,34407,1966
4/26/2020,-0.340178571,-0.121964286,0.235714286,-0.390178571,-0.315714286,0.086964286,-0.259496367,-0.34853912,-0.283579853,0,0,0,0,0,0,0,0,26735,1254
4/27/2020,-0.281964286,-0.100535714,0.161785714,-0.360892857,-0.401785714,0.156071429,-0.186267007,-0.311429686,-0.189665969,0,0,0,0,0,0,0,0,23191,1442
4/28/2020,-0.275892857,-0.074107143,0.265714286,-0.328392857,-0.414285714,0.103035714,-0.172749691,-0.311657754,-0.169543337,0,0,0,0,0,0,0,0,24631,2394
4/29/2020,-0.268392857,-0.066607143,0.19625,-0.326428571,-0.415535714,0.159107143,-0.174784323,-0.312471511,-0.162907937,0,0,0,0,0,0,0,0,26557,2514
4/30/2020,-0.279107143,-0.065,0.15125,-0.337678571,-0.415,0.165892857,-0.162509663,-0.312572893,-0.139059266,0,0,0,0,0,0,0,0,30339,2210
5/1/2020,-0.264642857,-0.036428571,0.339285714,-0.310892857,-0.395,0.157857143,-0.070578231,-0.292011714,-0.041008963,0,0,0,0,0,0,0,0,33964,1762
5/2/2020,-0.289642857,-0.022142857,0.669642857,-0.255,-0.255892857,0.079821429,-0.0883171,-0.307276229,-0.088379746,1,1,1,0,1,0,1,0,29474,1583
5/3/2020,-0.259464286,-0.047321429,0.582678571,-0.316607143,-0.268392857,0.066964286,-0.187726886,-0.325655239,-0.212020057,1,1,1,0,1,0,1,0,26140,1331
5/4/2020,-0.219821429,-0.04375,0.236071429,-0.321071429,-0.37875,0.138928571,-0.129545068,-0.294654475,-0.12643893,1,1,1,0,1,0,1,0,21961,1089
